Rate Code,Category,Item Description,Project Type,Work Type,Unit,Rate Min Ex GST,Recommended Rate Ex GST,Rate Max Ex GST,Adjustment Type,Rate Basis,Included Scope / Notes,Effective Date,Active
PB-CONCRETE-S-HEAVY-DUTY-BROADCAST-A-DOM-REP,Concrete Sealers & Floor Coatings,Heavy-duty broadcast aggregate epoxy,Domestic,Repaint,m²,150.0,150.0,150.0,Fixed,Base substrate/item rate,Full broadcast system; final build/specification to be confirmed.,2026-07-17,Yes
PB-CONCRETE-S-LINE-MARKING-50-100-MM-COM-NEW,Concrete Sealers & Floor Coatings,"Line marking, 50–100 mm wide",Commercial,New,lm,15.0,15.0,15.0,Fixed,Base substrate/item rate,Standard colour and layout.,2026-07-17,Yes
PB-CONCRETE-S-LINE-MARKING-50-100-MM-COM-REP,Concrete Sealers & Floor Coatings,"Line marking, 50–100 mm wide",Commercial,Repaint,lm,20.0,20.0,20.0,Fixed,Base substrate/item rate,Standard colour and layout.,2026-07-17,Yes
PB-CONCRETE-S-LINE-MARKING-50-100-MM-DOM-NEW,Concrete Sealers & Floor Coatings,"Line marking, 50–100 mm wide",Domestic,New,lm,12.0,12.0,12.0,Fixed,Base substrate/item rate,Standard colour and layout.,2026-07-17,Yes
PB-CONCRETE-S-LINE-MARKING-50-100-MM-DOM-REP,Concrete Sealers & Floor Coatings,"Line marking, 50–100 mm wide",Domestic,Repaint,lm,18.0,18.0,18.0,Fixed,Base substrate/item rate,Standard colour and layout.,2026-07-17,Yes
PB-CONCRETE-S-P4-SLIP-RESISTANT-EPOX-COM-NEW,Concrete Sealers & Floor Coatings,P4 slip-resistant epoxy flooring,Commercial,New,m²,105.0,105.0,105.0,Fixed,Base substrate/item rate,Includes nominated slip aggregate system.,2026-07-17,Yes
PB-CONCRETE-S-P4-SLIP-RESISTANT-EPOX-COM-REP,Concrete Sealers & Floor Coatings,P4 slip-resistant epoxy flooring,Commercial,Repaint,m²,130.0,130.0,130.0,Fixed,Base substrate/item rate,Includes nominated slip aggregate system.,2026-07-17,Yes
PB-CONCRETE-S-P4-SLIP-RESISTANT-EPOX-DOM-NEW,Concrete Sealers & Floor Coatings,P4 slip-resistant epoxy flooring,Domestic,New,m²,95.0,95.0,95.0,Fixed,Base substrate/item rate,Includes nominated slip aggregate system.,2026-07-17,Yes
PB-CONCRETE-S-P4-SLIP-RESISTANT-EPOX-DOM-REP,Concrete Sealers & Floor Coatings,P4 slip-resistant epoxy flooring,Domestic,Repaint,m²,120.0,120.0,120.0,Fixed,Base substrate/item rate,Includes nominated slip aggregate system.,2026-07-17,Yes
PB-CONCRETE-S-PENETRATING-CLEAR-CONC-COM-NEW,Concrete Sealers & Floor Coatings,Penetrating clear concrete sealer,Commercial,New,m²,32.0,32.0,32.0,Fixed,Base substrate/item rate,Sound dry concrete; one or two applications as specified.,2026-07-17,Yes
PB-CONCRETE-S-PENETRATING-CLEAR-CONC-COM-REP,Concrete Sealers & Floor Coatings,Penetrating clear concrete sealer,Commercial,Repaint,m²,42.0,42.0,42.0,Fixed,Base substrate/item rate,Sound dry concrete; one or two applications as specified.,2026-07-17,Yes
PB-CONCRETE-S-PENETRATING-CLEAR-CONC-DOM-NEW,Concrete Sealers & Floor Coatings,Penetrating clear concrete sealer,Domestic,New,m²,28.0,28.0,28.0,Fixed,Base substrate/item rate,Sound dry concrete; one or two applications as specified.,2026-07-17,Yes
PB-CONCRETE-S-PENETRATING-CLEAR-CONC-DOM-REP,Concrete Sealers & Floor Coatings,Penetrating clear concrete sealer,Domestic,Repaint,m²,38.0,38.0,38.0,Fixed,Base substrate/item rate,Sound dry concrete; one or two applications as specified.,2026-07-17,Yes
PB-CONCRETE-S-SMOOTH-LOW-BUILD-EPOXY-COM-NEW,Concrete Sealers & Floor Coatings,Smooth low-build epoxy flooring,Commercial,New,m²,85.0,85.0,85.0,Fixed,Base substrate/item rate,Sound concrete; moisture and contamination excluded.,2026-07-17,Yes
PB-CONCRETE-S-SMOOTH-LOW-BUILD-EPOXY-COM-REP,Concrete Sealers & Floor Coatings,Smooth low-build epoxy flooring,Commercial,Repaint,m²,110.0,110.0,110.0,Fixed,Base substrate/item rate,Sound concrete; moisture and contamination excluded.,2026-07-17,Yes
PB-CONCRETE-S-SMOOTH-LOW-BUILD-EPOXY-DOM-NEW,Concrete Sealers & Floor Coatings,Smooth low-build epoxy flooring,Domestic,New,m²,75.0,75.0,75.0,Fixed,Base substrate/item rate,Sound concrete; moisture and contamination excluded.,2026-07-17,Yes
PB-CONCRETE-S-SMOOTH-LOW-BUILD-EPOXY-DOM-REP,Concrete Sealers & Floor Coatings,Smooth low-build epoxy flooring,Domestic,Repaint,m²,100.0,100.0,100.0,Fixed,Base substrate/item rate,Sound concrete; moisture and contamination excluded.,2026-07-17,Yes
PB-CONCRETE-S-STANDARD-CONCRETE-FLOO-COM-NEW,Concrete Sealers & Floor Coatings,Standard concrete floor paint,Commercial,New,m²,65.0,65.0,65.0,Fixed,Base substrate/item rate,Mechanical prep allowance depends on substrate condition.,2026-07-17,Yes
PB-CONCRETE-S-STANDARD-CONCRETE-FLOO-COM-REP,Concrete Sealers & Floor Coatings,Standard concrete floor paint,Commercial,Repaint,m²,85.0,85.0,85.0,Fixed,Base substrate/item rate,Mechanical prep allowance depends on substrate condition.,2026-07-17,Yes
PB-CONCRETE-S-STANDARD-CONCRETE-FLOO-DOM-NEW,Concrete Sealers & Floor Coatings,Standard concrete floor paint,Domestic,New,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Mechanical prep allowance depends on substrate condition.,2026-07-17,Yes
PB-CONCRETE-S-STANDARD-CONCRETE-FLOO-DOM-REP,Concrete Sealers & Floor Coatings,Standard concrete floor paint,Domestic,Repaint,m²,75.0,75.0,75.0,Fixed,Base substrate/item rate,Mechanical prep allowance depends on substrate condition.,2026-07-17,Yes
PB-CONCRETE-S-TWO-COAT-FILM-FORMING--COM-NEW,Concrete Sealers & Floor Coatings,Two-coat film-forming clear sealer,Commercial,New,m²,42.0,42.0,42.0,Fixed,Base substrate/item rate,Sound dry concrete; standard clear film-forming system.,2026-07-17,Yes
PB-CONCRETE-S-TWO-COAT-FILM-FORMING--COM-REP,Concrete Sealers & Floor Coatings,Two-coat film-forming clear sealer,Commercial,Repaint,m²,55.0,55.0,55.0,Fixed,Base substrate/item rate,Sound dry concrete; standard clear film-forming system.,2026-07-17,Yes
PB-CONCRETE-S-TWO-COAT-FILM-FORMING--DOM-NEW,Concrete Sealers & Floor Coatings,Two-coat film-forming clear sealer,Domestic,New,m²,36.0,36.0,36.0,Fixed,Base substrate/item rate,Sound dry concrete; standard clear film-forming system.,2026-07-17,Yes
PB-CONCRETE-S-TWO-COAT-FILM-FORMING--DOM-REP,Concrete Sealers & Floor Coatings,Two-coat film-forming clear sealer,Domestic,Repaint,m²,48.0,48.0,48.0,Fixed,Base substrate/item rate,Sound dry concrete; standard clear film-forming system.,2026-07-17,Yes
PB-CONCRETE-S-UV-STABLE-EXTERNAL-SLI-COM-NEW,Concrete Sealers & Floor Coatings,UV-stable external slip-resistant system,Commercial,New,m²,145.0,145.0,145.0,Fixed,Base substrate/item rate,UV-stable topcoat and slip aggregate.,2026-07-17,Yes
PB-CONCRETE-S-UV-STABLE-EXTERNAL-SLI-COM-REP,Concrete Sealers & Floor Coatings,UV-stable external slip-resistant system,Commercial,Repaint,m²,180.0,180.0,180.0,Fixed,Base substrate/item rate,UV-stable topcoat and slip aggregate.,2026-07-17,Yes
PB-CONCRETE-S-UV-STABLE-EXTERNAL-SLI-DOM-NEW,Concrete Sealers & Floor Coatings,UV-stable external slip-resistant system,Domestic,New,m²,130.0,130.0,130.0,Fixed,Base substrate/item rate,UV-stable topcoat and slip aggregate.,2026-07-17,Yes
PB-CONCRETE-S-UV-STABLE-EXTERNAL-SLI-DOM-REP,Concrete Sealers & Floor Coatings,UV-stable external slip-resistant system,Domestic,Repaint,m²,165.0,165.0,165.0,Fixed,Base substrate/item rate,UV-stable topcoat and slip aggregate.,2026-07-17,Yes
PB-DOORS-FRAM-ARCHITRAVES-COM-NEW,"Doors, Frames & Internal Timberwork",Architraves,Commercial,New,lm,18.0,18.0,18.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-ARCHITRAVES-COM-REP,"Doors, Frames & Internal Timberwork",Architraves,Commercial,Repaint,lm,22.0,22.0,22.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-ARCHITRAVES-DOM-NEW,"Doors, Frames & Internal Timberwork",Architraves,Domestic,New,lm,15.0,15.0,15.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-ARCHITRAVES-DOM-REP,"Doors, Frames & Internal Timberwork",Architraves,Domestic,Repaint,lm,20.0,20.0,20.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-BUILT-IN-SHELVING-SIMP-COM-NEW,"Doors, Frames & Internal Timberwork","Built-in shelving, simple",Commercial,New,m²,95.0,95.0,95.0,Fixed,Base substrate/item rate,Developed paintable area.,2026-07-17,Yes
PB-DOORS-FRAM-BUILT-IN-SHELVING-SIMP-COM-REP,"Doors, Frames & Internal Timberwork","Built-in shelving, simple",Commercial,Repaint,m²,125.0,125.0,125.0,Fixed,Base substrate/item rate,Developed paintable area.,2026-07-17,Yes
PB-DOORS-FRAM-BUILT-IN-SHELVING-SIMP-DOM-NEW,"Doors, Frames & Internal Timberwork","Built-in shelving, simple",Domestic,New,m²,85.0,85.0,85.0,Fixed,Base substrate/item rate,Developed paintable area.,2026-07-17,Yes
PB-DOORS-FRAM-BUILT-IN-SHELVING-SIMP-DOM-REP,"Doors, Frames & Internal Timberwork","Built-in shelving, simple",Domestic,Repaint,m²,115.0,115.0,115.0,Fixed,Base substrate/item rate,Developed paintable area.,2026-07-17,Yes
PB-DOORS-FRAM-CABINET-DOORS-AND-DRAW-COM-NEW,"Doors, Frames & Internal Timberwork",Cabinet doors and drawer fronts,Commercial,New,m²,130.0,130.0,130.0,Fixed,Base substrate/item rate,Developed face area; specialist two-pack finishes excluded.,2026-07-17,Yes
PB-DOORS-FRAM-CABINET-DOORS-AND-DRAW-COM-REP,"Doors, Frames & Internal Timberwork",Cabinet doors and drawer fronts,Commercial,Repaint,m²,170.0,170.0,170.0,Fixed,Base substrate/item rate,Developed face area; specialist two-pack finishes excluded.,2026-07-17,Yes
PB-DOORS-FRAM-CABINET-DOORS-AND-DRAW-DOM-NEW,"Doors, Frames & Internal Timberwork",Cabinet doors and drawer fronts,Domestic,New,m²,115.0,115.0,115.0,Fixed,Base substrate/item rate,Developed face area; specialist two-pack finishes excluded.,2026-07-17,Yes
PB-DOORS-FRAM-CABINET-DOORS-AND-DRAW-DOM-REP,"Doors, Frames & Internal Timberwork",Cabinet doors and drawer fronts,Domestic,Repaint,m²,155.0,155.0,155.0,Fixed,Base substrate/item rate,Developed face area; specialist two-pack finishes excluded.,2026-07-17,Yes
PB-DOORS-FRAM-DETAILED-COLONIAL-WIND-COM-NEW,"Doors, Frames & Internal Timberwork",Detailed colonial window,Commercial,New,each,480.0,480.0,480.0,Fixed,Base substrate/item rate,Allows for multiple panes and detailed cutting.,2026-07-17,Yes
PB-DOORS-FRAM-DETAILED-COLONIAL-WIND-COM-REP,"Doors, Frames & Internal Timberwork",Detailed colonial window,Commercial,Repaint,each,620.0,620.0,620.0,Fixed,Base substrate/item rate,Allows for multiple panes and detailed cutting.,2026-07-17,Yes
PB-DOORS-FRAM-DETAILED-COLONIAL-WIND-DOM-NEW,"Doors, Frames & Internal Timberwork",Detailed colonial window,Domestic,New,each,420.0,420.0,420.0,Fixed,Base substrate/item rate,Allows for multiple panes and detailed cutting.,2026-07-17,Yes
PB-DOORS-FRAM-DETAILED-COLONIAL-WIND-DOM-REP,"Doors, Frames & Internal Timberwork",Detailed colonial window,Domestic,Repaint,each,560.0,560.0,560.0,Fixed,Base substrate/item rate,Allows for multiple panes and detailed cutting.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-FRONT-OR-FEATUR-COM-NEW,"Doors, Frames & Internal Timberwork",Double front or feature door,Commercial,New,set,1300.0,1300.0,1300.0,Fixed,Base substrate/item rate,Complete double-door set; excludes major restoration.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-FRONT-OR-FEATUR-COM-REP,"Doors, Frames & Internal Timberwork",Double front or feature door,Commercial,Repaint,set,1600.0,1600.0,1600.0,Fixed,Base substrate/item rate,Complete double-door set; excludes major restoration.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-FRONT-OR-FEATUR-DOM-NEW,"Doors, Frames & Internal Timberwork",Double front or feature door,Domestic,New,set,1100.0,1100.0,1100.0,Fixed,Base substrate/item rate,Complete double-door set; excludes major restoration.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-FRONT-OR-FEATUR-DOM-REP,"Doors, Frames & Internal Timberwork",Double front or feature door,Domestic,Repaint,set,1400.0,1400.0,1400.0,Fixed,Base substrate/item rate,Complete double-door set; excludes major restoration.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-METAL-CLAD-DOOR-COM-NEW,"Doors, Frames & Internal Timberwork",Double metal-clad door and frame,Commercial,New,set,1250.0,1250.0,1250.0,Fixed,Base substrate/item rate,Double complete set.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-METAL-CLAD-DOOR-COM-REP,"Doors, Frames & Internal Timberwork",Double metal-clad door and frame,Commercial,Repaint,set,1550.0,1550.0,1550.0,Fixed,Base substrate/item rate,Double complete set.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-METAL-CLAD-DOOR-DOM-NEW,"Doors, Frames & Internal Timberwork",Double metal-clad door and frame,Domestic,New,set,1100.0,1100.0,1100.0,Fixed,Base substrate/item rate,Double complete set.,2026-07-17,Yes
PB-DOORS-FRAM-DOUBLE-METAL-CLAD-DOOR-DOM-REP,"Doors, Frames & Internal Timberwork",Double metal-clad door and frame,Domestic,Repaint,set,1400.0,1400.0,1400.0,Fixed,Base substrate/item rate,Double complete set.,2026-07-17,Yes
PB-DOORS-FRAM-FIRE-RATED-DOOR-LEAF-COM-NEW,"Doors, Frames & Internal Timberwork",Fire-rated door leaf,Commercial,New,each,550.0,550.0,550.0,Fixed,Base substrate/item rate,"Painting only; certification, seals and fire-rating repairs excluded.",2026-07-17,Yes
PB-DOORS-FRAM-FIRE-RATED-DOOR-LEAF-COM-REP,"Doors, Frames & Internal Timberwork",Fire-rated door leaf,Commercial,Repaint,each,680.0,680.0,680.0,Fixed,Base substrate/item rate,"Painting only; certification, seals and fire-rating repairs excluded.",2026-07-17,Yes
PB-DOORS-FRAM-FIRE-RATED-DOOR-LEAF-DOM-NEW,"Doors, Frames & Internal Timberwork",Fire-rated door leaf,Domestic,New,each,500.0,500.0,500.0,Fixed,Base substrate/item rate,"Painting only; certification, seals and fire-rating repairs excluded.",2026-07-17,Yes
PB-DOORS-FRAM-FIRE-RATED-DOOR-LEAF-DOM-REP,"Doors, Frames & Internal Timberwork",Fire-rated door leaf,Domestic,Repaint,each,620.0,620.0,620.0,Fixed,Base substrate/item rate,"Painting only; certification, seals and fire-rating repairs excluded.",2026-07-17,Yes
PB-DOORS-FRAM-FLUSH-INTERNAL-DOOR-BO-COM-NEW,"Doors, Frames & Internal Timberwork","Flush internal door, both faces and edges",Commercial,New,each,260.0,260.0,260.0,Fixed,Base substrate/item rate,Hardware masked; removal and rehanging excluded.,2026-07-17,Yes
PB-DOORS-FRAM-FLUSH-INTERNAL-DOOR-BO-COM-REP,"Doors, Frames & Internal Timberwork","Flush internal door, both faces and edges",Commercial,Repaint,each,320.0,320.0,320.0,Fixed,Base substrate/item rate,Hardware masked; removal and rehanging excluded.,2026-07-17,Yes
PB-DOORS-FRAM-FLUSH-INTERNAL-DOOR-BO-DOM-NEW,"Doors, Frames & Internal Timberwork","Flush internal door, both faces and edges",Domestic,New,each,220.0,220.0,220.0,Fixed,Base substrate/item rate,Hardware masked; removal and rehanging excluded.,2026-07-17,Yes
PB-DOORS-FRAM-FLUSH-INTERNAL-DOOR-BO-DOM-REP,"Doors, Frames & Internal Timberwork","Flush internal door, both faces and edges",Domestic,Repaint,each,280.0,280.0,280.0,Fixed,Base substrate/item rate,Hardware masked; removal and rehanging excluded.,2026-07-17,Yes
PB-DOORS-FRAM-FRONT-ENTRY-DOOR-COM-NEW,"Doors, Frames & Internal Timberwork",Front entry door,Commercial,New,each,750.0,750.0,750.0,Fixed,Base substrate/item rate,Standard single feature/entry door.,2026-07-17,Yes
PB-DOORS-FRAM-FRONT-ENTRY-DOOR-COM-REP,"Doors, Frames & Internal Timberwork",Front entry door,Commercial,Repaint,each,900.0,900.0,900.0,Fixed,Base substrate/item rate,Standard single feature/entry door.,2026-07-17,Yes
PB-DOORS-FRAM-FRONT-ENTRY-DOOR-DOM-NEW,"Doors, Frames & Internal Timberwork",Front entry door,Domestic,New,each,650.0,650.0,650.0,Fixed,Base substrate/item rate,Standard single feature/entry door.,2026-07-17,Yes
PB-DOORS-FRAM-FRONT-ENTRY-DOOR-DOM-REP,"Doors, Frames & Internal Timberwork",Front entry door,Domestic,Repaint,each,800.0,800.0,800.0,Fixed,Base substrate/item rate,Standard single feature/entry door.,2026-07-17,Yes
PB-DOORS-FRAM-GROOVED-OR-PANELLED-IN-COM-NEW,"Doors, Frames & Internal Timberwork",Grooved or panelled internal door,Commercial,New,each,320.0,320.0,320.0,Fixed,Base substrate/item rate,"Allows for additional grooves, panels and cutting.",2026-07-17,Yes
PB-DOORS-FRAM-GROOVED-OR-PANELLED-IN-COM-REP,"Doors, Frames & Internal Timberwork",Grooved or panelled internal door,Commercial,Repaint,each,390.0,390.0,390.0,Fixed,Base substrate/item rate,"Allows for additional grooves, panels and cutting.",2026-07-17,Yes
PB-DOORS-FRAM-GROOVED-OR-PANELLED-IN-DOM-NEW,"Doors, Frames & Internal Timberwork",Grooved or panelled internal door,Domestic,New,each,280.0,280.0,280.0,Fixed,Base substrate/item rate,"Allows for additional grooves, panels and cutting.",2026-07-17,Yes
PB-DOORS-FRAM-GROOVED-OR-PANELLED-IN-DOM-REP,"Doors, Frames & Internal Timberwork",Grooved or panelled internal door,Domestic,Repaint,each,350.0,350.0,350.0,Fixed,Base substrate/item rate,"Allows for additional grooves, panels and cutting.",2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-AND-ST-COM-NEW,"Doors, Frames & Internal Timberwork",Metal-clad door and steel frame,Commercial,New,set,700.0,700.0,700.0,Fixed,Base substrate/item rate,Single complete set.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-AND-ST-COM-REP,"Doors, Frames & Internal Timberwork",Metal-clad door and steel frame,Commercial,Repaint,set,850.0,850.0,850.0,Fixed,Base substrate/item rate,Single complete set.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-AND-ST-DOM-NEW,"Doors, Frames & Internal Timberwork",Metal-clad door and steel frame,Domestic,New,set,620.0,620.0,620.0,Fixed,Base substrate/item rate,Single complete set.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-AND-ST-DOM-REP,"Doors, Frames & Internal Timberwork",Metal-clad door and steel frame,Domestic,Repaint,set,760.0,760.0,760.0,Fixed,Base substrate/item rate,Single complete set.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-LEAF-COM-NEW,"Doors, Frames & Internal Timberwork",Metal-clad door leaf,Commercial,New,each,480.0,480.0,480.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-LEAF-COM-REP,"Doors, Frames & Internal Timberwork",Metal-clad door leaf,Commercial,Repaint,each,600.0,600.0,600.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-LEAF-DOM-NEW,"Doors, Frames & Internal Timberwork",Metal-clad door leaf,Domestic,New,each,430.0,430.0,430.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-DOORS-FRAM-METAL-CLAD-DOOR-LEAF-DOM-REP,"Doors, Frames & Internal Timberwork",Metal-clad door leaf,Domestic,Repaint,each,550.0,550.0,550.0,Fixed,Base substrate/item rate,Both faces and accessible edges.,2026-07-17,Yes
PB-DOORS-FRAM-PRESSED-STEEL-DOOR-FRA-COM-NEW,"Doors, Frames & Internal Timberwork",Pressed steel door frame only,Commercial,New,each,280.0,280.0,280.0,Fixed,Base substrate/item rate,Includes normal metal preparation and coating system.,2026-07-17,Yes
PB-DOORS-FRAM-PRESSED-STEEL-DOOR-FRA-COM-REP,"Doors, Frames & Internal Timberwork",Pressed steel door frame only,Commercial,Repaint,each,340.0,340.0,340.0,Fixed,Base substrate/item rate,Includes normal metal preparation and coating system.,2026-07-17,Yes
PB-DOORS-FRAM-PRESSED-STEEL-DOOR-FRA-DOM-NEW,"Doors, Frames & Internal Timberwork",Pressed steel door frame only,Domestic,New,each,240.0,240.0,240.0,Fixed,Base substrate/item rate,Includes normal metal preparation and coating system.,2026-07-17,Yes
PB-DOORS-FRAM-PRESSED-STEEL-DOOR-FRA-DOM-REP,"Doors, Frames & Internal Timberwork",Pressed steel door frame only,Domestic,Repaint,each,300.0,300.0,300.0,Fixed,Base substrate/item rate,Includes normal metal preparation and coating system.,2026-07-17,Yes
PB-DOORS-FRAM-SKIRTING-BOARDS-COM-NEW,"Doors, Frames & Internal Timberwork",Skirting boards,Commercial,New,lm,18.0,18.0,18.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-SKIRTING-BOARDS-COM-REP,"Doors, Frames & Internal Timberwork",Skirting boards,Commercial,Repaint,lm,22.0,22.0,22.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-SKIRTING-BOARDS-DOM-NEW,"Doors, Frames & Internal Timberwork",Skirting boards,Domestic,New,lm,15.0,15.0,15.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-SKIRTING-BOARDS-DOM-REP,"Doors, Frames & Internal Timberwork",Skirting boards,Domestic,Repaint,lm,20.0,20.0,20.0,Fixed,Base substrate/item rate,Standard profile and access.,2026-07-17,Yes
PB-DOORS-FRAM-STANDARD-DOOR-LEAF-AND-COM-NEW,"Doors, Frames & Internal Timberwork",Standard door leaf and full frame,Commercial,New,set,520.0,520.0,520.0,Fixed,Base substrate/item rate,Door leaf plus complete frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-STANDARD-DOOR-LEAF-AND-COM-REP,"Doors, Frames & Internal Timberwork",Standard door leaf and full frame,Commercial,Repaint,set,650.0,650.0,650.0,Fixed,Base substrate/item rate,Door leaf plus complete frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-STANDARD-DOOR-LEAF-AND-DOM-NEW,"Doors, Frames & Internal Timberwork",Standard door leaf and full frame,Domestic,New,set,450.0,450.0,450.0,Fixed,Base substrate/item rate,Door leaf plus complete frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-STANDARD-DOOR-LEAF-AND-DOM-REP,"Doors, Frames & Internal Timberwork",Standard door leaf and full frame,Domestic,Repaint,set,580.0,580.0,580.0,Fixed,Base substrate/item rate,Door leaf plus complete frame and architraves.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-DADO-OR-CHAIR-R-COM-NEW,"Doors, Frames & Internal Timberwork",Timber dado or chair rail,Commercial,New,lm,20.0,20.0,20.0,Fixed,Base substrate/item rate,Standard profile.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-DADO-OR-CHAIR-R-COM-REP,"Doors, Frames & Internal Timberwork",Timber dado or chair rail,Commercial,Repaint,lm,26.0,26.0,26.0,Fixed,Base substrate/item rate,Standard profile.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-DADO-OR-CHAIR-R-DOM-NEW,"Doors, Frames & Internal Timberwork",Timber dado or chair rail,Domestic,New,lm,17.0,17.0,17.0,Fixed,Base substrate/item rate,Standard profile.,2026-07-17,Yes
PB-DOORS-FRAM-TIMBER-DADO-OR-CHAIR-R-DOM-REP,"Doors, Frames & Internal Timberwork",Timber dado or chair rail,Domestic,Repaint,lm,23.0,23.0,23.0,Fixed,Base substrate/item rate,Standard profile.,2026-07-17,Yes
