section_id,unit,level,group,area,substrate,category,m2,lm,doors,frames,coats,paint_type,paint_litres,labour_hours,value_ex_gst,status,completed_pct,notes
KS-U7-041,Unit 7,External,External,Unit 7 - Garage door,Garage door,Woodwork/metalwork,0,0,1,1,2,Gloss/enamel,0.6,1.5,250.0,Not Started,0,Dover White garage door. Verify door finish/product.
KS-U7-042,Unit 7,GF/L1,Internal,Unit 7 - Stair/handrail package,Stairs/handrails,Woodwork,0,0,0,0,2,Clear/gloss/paint as required,0.0,8.0,1350.0,Not Started,0,Stair and handrail painting package.
KS-U7-043,Unit 7,GF/L1,Internal,Unit 7 - Height/high access allowance,High ceilings/stair voids,Features,0,0,0,0,0,Allowance,0.0,4.0,987.7,Not Started,0,Allowance for higher ceilings/stair voids.
KS-U7-044,Unit 7,Whole job,Completion,Unit 7 - Touch-up/final defects,Final touch-ups,Completion,0,0,0,0,0,Allowance,0.0,3.0,250.0,Not Started,0,Final touch-up and defects allowance.
KS-U7-045,Unit 7,Whole job,Allowance,Unit 7 - Balancing allowance,Project allowance,Allowance,0,0,0,0,0,Allowance,0.0,0.0,2666.84,Not Started,0,Progress model balancing allowance to align with previous total quote basis.
KS-U8-046,Unit 8,GF/L1,Internal,Unit 8 - Internal walls,Plasterboard walls,Walls,474.1,0,0,0,2,Low sheen wall paint,79.02,59.26,5510.03,Not Started,0,"Walls - GF/L1 bedrooms, living, halls. Verify wall take-off from plans."
KS-U8-047,Unit 8,GF/L1,Internal,Unit 8 - Internal ceilings,Plasterboard ceilings,Ceilings,197.54,0,0,0,2,Ceiling flat,32.92,21.95,2693.79,Not Started,0,Ceilings - GF/L1. Includes standard ceiling painting allowance.
KS-U8-048,Unit 8,GF/L1,Internal,Unit 8 - Woodwork and gloss,"Doors, frames, jambs, skirting",Woodwork,0,100,13,28,2,Gloss/enamel,10.3,13.0,2816.24,Not Started,0,"Allow 500ml per door, 100ml per frame/jamb, 1L per 100lm skirting."
KS-U8-049,Unit 8,GF/L1,Internal,Unit 8 - Garage internal,Garage walls/ceiling,Walls/Ceilings,65.0,0,0,0,2,Interior paint,10.83,9.29,857.12,Not Started,0,Garage internal painting allowance.
KS-U8-050,Unit 8,GF/L1,Internal,Unit 8 - Feature/multiple colours,Feature/dark/multiple colours,Features,20.0,0,0,0,2,Feature colour,3.33,5.0,367.34,Not Started,0,Feature/multiple colour change allowance.
KS-U8-051,Unit 8,External,External,Unit 8 - EC1 Lineaboard cladding,Lineaboard cladding,Exterior cladding,51.82,0,0,0,2,Exterior paint,8.64,8.64,1984.85,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U8-052,Unit 8,External,External,Unit 8 - EC2 Textureboard cladding,Textureboard 1200mm cladding,Exterior cladding,43.18,0,0,0,2,Exterior paint,7.2,8.64,1654.04,Not Started,0,Dulux Dieskau Half lower level per finishes schedule.
KS-U8-053,Unit 8,External,External,Unit 8 - EC3 Easylap cladding,Easylap cladding,Exterior cladding,34.54,0,0,0,2,Exterior paint,5.76,5.76,1323.23,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U8-054,Unit 8,External,External,Unit 8 - Rendered block/fencing,Rendered block/fencing,Render,25.91,0,0,0,2,Exterior render paint,4.32,5.18,992.42,Not Started,0,Rendered block and fencing. Verify heights and fence lengths on site.
KS-U8-055,Unit 8,External,External,Unit 8 - Eaves/soffits/downpipes,"Soffits, eaves, downpipes",Soffits/trim,17.27,0,0,0,2,Exterior trim paint,2.88,4.32,661.62,Not Started,0,Soffits half Surfmist; downpipes match exterior colours.
KS-U8-056,Unit 8,External,External,Unit 8 - Garage door,Garage door,Woodwork/metalwork,0,0,1,1,2,Gloss/enamel,0.6,1.5,250.0,Not Started,0,Dover White garage door. Verify door finish/product.
KS-U8-057,Unit 8,GF/L1,Internal,Unit 8 - Stair/handrail package,Stairs/handrails,Woodwork,0,0,0,0,2,Clear/gloss/paint as required,0.0,8.0,1350.0,Not Started,0,Stair and handrail painting package.
KS-U8-058,Unit 8,GF/L1,Internal,Unit 8 - Height/high access allowance,High ceilings/stair voids,Features,0,0,0,0,0,Allowance,0.0,4.0,987.7,Not Started,0,Allowance for higher ceilings/stair voids.
KS-U8-059,Unit 8,Whole job,Completion,Unit 8 - Touch-up/final defects,Final touch-ups,Completion,0,0,0,0,0,Allowance,0.0,3.0,250.0,Not Started,0,Final touch-up and defects allowance.
KS-U8-060,Unit 8,Whole job,Allowance,Unit 8 - Balancing allowance,Project allowance,Allowance,0,0,0,0,0,Allowance,0.0,0.0,2666.84,Not Started,0,Progress model balancing allowance to align with previous total quote basis.
KS-U9-061,Unit 9,GF/L1,Internal,Unit 9 - Internal walls,Plasterboard walls,Walls,474.1,0,0,0,2,Low sheen wall paint,79.02,59.26,5510.03,Not Started,0,"Walls - GF/L1 bedrooms, living, halls. Verify wall take-off from plans."
KS-U9-062,Unit 9,GF/L1,Internal,Unit 9 - Internal ceilings,Plasterboard ceilings,Ceilings,197.54,0,0,0,2,Ceiling flat,32.92,21.95,2693.79,Not Started,0,Ceilings - GF/L1. Includes standard ceiling painting allowance.
KS-U9-063,Unit 9,GF/L1,Internal,Unit 9 - Woodwork and gloss,"Doors, frames, jambs, skirting",Woodwork,0,100,13,28,2,Gloss/enamel,10.3,13.0,2816.24,Not Started,0,"Allow 500ml per door, 100ml per frame/jamb, 1L per 100lm skirting."
KS-U9-064,Unit 9,GF/L1,Internal,Unit 9 - Garage internal,Garage walls/ceiling,Walls/Ceilings,65.0,0,0,0,2,Interior paint,10.83,9.29,857.12,Not Started,0,Garage internal painting allowance.
KS-U9-065,Unit 9,GF/L1,Internal,Unit 9 - Feature/multiple colours,Feature/dark/multiple colours,Features,20.0,0,0,0,2,Feature colour,3.33,5.0,367.34,Not Started,0,Feature/multiple colour change allowance.
KS-U9-066,Unit 9,External,External,Unit 9 - EC1 Lineaboard cladding,Lineaboard cladding,Exterior cladding,51.82,0,0,0,2,Exterior paint,8.64,8.64,1984.85,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U9-067,Unit 9,External,External,Unit 9 - EC2 Textureboard cladding,Textureboard 1200mm cladding,Exterior cladding,43.18,0,0,0,2,Exterior paint,7.2,8.64,1654.04,Not Started,0,Dulux Dieskau Half lower level per finishes schedule.
KS-U9-068,Unit 9,External,External,Unit 9 - EC3 Easylap cladding,Easylap cladding,Exterior cladding,34.54,0,0,0,2,Exterior paint,5.76,5.76,1323.23,Not Started,0,Dulux Whisper White per finishes schedule.
KS-U9-069,Unit 9,External,External,Unit 9 - Rendered block/fencing,Rendered block/fencing,Render,25.91,0,0,0,2,Exterior render paint,4.32,5.18,992.42,Not Started,0,Rendered block and fencing. Verify heights and fence lengths on site.
KS-U9-070,Unit 9,External,External,Unit 9 - Eaves/soffits/downpipes,"Soffits, eaves, downpipes",Soffits/trim,17.27,0,0,0,2,Exterior trim paint,2.88,4.32,661.62,Not Started,0,Soffits half Surfmist; downpipes match exterior colours.
KS-U9-071,Unit 9,External,External,Unit 9 - Garage door,Garage door,Woodwork/metalwork,0,0,1,1,2,Gloss/enamel,0.6,1.5,250.0,Not Started,0,Dover White garage door. Verify door finish/product.
KS-U9-072,Unit 9,GF/L1,Internal,Unit 9 - Stair/handrail package,Stairs/handrails,Woodwork,0,0,0,0,2,Clear/gloss/paint as required,0.0,8.0,1350.0,Not Started,0,Stair and handrail painting package.
KS-U9-073,Unit 9,GF/L1,Internal,Unit 9 - Height/high access allowance,High ceilings/stair voids,Features,0,0,0,0,0,Allowance,0.0,4.0,987.7,Not Started,0,Allowance for higher ceilings/stair voids.
KS-U9-074,Unit 9,Whole job,Completion,Unit 9 - Touch-up/final defects,Final touch-ups,Completion,0,0,0,0,0,Allowance,0.0,3.0,250.0,Not Started,0,Final touch-up and defects allowance.
KS-U9-075,Unit 9,Whole job,Allowance,Unit 9 - Balancing allowance,Project allowance,Allowance,0,0,0,0,0,Allowance,0.0,0.0,1416.74,Not Started,0,Progress model balancing allowance to align with previous total quote basis.
